Fuehrungsform,Strassentyp,Tempo_kmh,Kfz_Aufkommen,n_Konfig,Votes,Score_0_100,Means_0_3
Q6 Mischverkehr,Hauptstrasse,30,gering,4,1375,18.1,0.74
Q6 Mischverkehr,Hauptstrasse,30,hoch+SV,4,1413,20.0,0.8
Q6 Mischverkehr,Hauptstrasse,50,gering,4,1326,10.2,0.53
Q6 Mischverkehr,Hauptstrasse,50,hoch+SV,4,1380,11.6,0.53
Q1 Radstreifen schmal 2m,Hauptstrasse,30,gering,48,3256,55.8,1.56
Q1 Radstreifen schmal 2m,Hauptstrasse,30,hoch+SV,48,3271,51.3,1.49
Q1 Radstreifen schmal 2m,Hauptstrasse,50,gering,48,3219,49.3,1.47
Q1 Radstreifen schmal 2m,Hauptstrasse,50,hoch+SV,48,3261,48.4,1.41
Q1 Radstreifen breit 3.5m,Hauptstrasse,30,gering,64,4500,79.7,2.07
Q1 Radstreifen breit 3.5m,Hauptstrasse,30,hoch+SV,64,4418,77.9,2.03
Q1 Radstreifen breit 3.5m,Hauptstrasse,50,gering,66,5004,74.5,1.94
Q1 Radstreifen breit 3.5m,Hauptstrasse,50,hoch+SV,64,4413,74.9,1.97
Q2 geschuetzt,Hauptstrasse,30,gering,40,2728,91.4,2.53
Q2 geschuetzt,Hauptstrasse,30,hoch+SV,40,2714,90.8,2.48
Q2 geschuetzt,Hauptstrasse,50,gering,50,4086,91.7,2.55
Q2 geschuetzt,Hauptstrasse,50,hoch+SV,40,2677,90.8,2.47
Q3 Seitenraum,Hauptstrasse,50,gering,1058,86825,81.7,2.25
Q7 Einbahn Velogegenverkehr,Nebenstrasse,-,gering,24,9828,26.5,0.97
Q8 Quartier (ohne Mark./Spielstr.),Nebenstrasse,-,gering,30,12146,32.7,1.1
Q8 Quartier (ohne Mark./Spielstr.),Nebenstrasse,-,autofrei,6,2402,64.3,1.81
Q9 Velostrasse,Nebenstrasse,-,gering,30,12066,33.3,1.12
Q9 Velostrasse,Nebenstrasse,-,autofrei,12,4946,84.0,2.34
